7:14 15 4
7:24 15 4
7:34 15 4
7:41 15 4
7:47 15 4
7:52 15 4
7:57 15 4
8:02 15 4
8:07 15 4
8:12 15 4
8:17 15 4
8:22 15 4
8:27 15 4
8:32 15 4
8:37 15 4
8:42 15 4
8:47 15 4
8:52 15 4
8:57 10 4
9:02 10 4
9:07 10 4
9:12 10 4
9:17 10 4
9:22 10 4
9:27 10 4
9:32 10 4
9:37 10 4
9:44 10 4
9:52 10 4
10:00 10 4
10:08 10 4
10:16 10 4
10:24 10 4
10:32 10 4
10:40 10 4
10:48 10 4
10:56 10 4
11:04 10 4
11:12 10 3
11:20 10 3
11:28 10 3
11:36 10 3
11:44 10 3
11:52 12 3
12:00 12 3
12:08 12 3
12:15 12 3
12:23 12 3
12:31 12 3
12:39 12 3
12:47 12 3
12:55 12 3
13:03 12 3
13:11 12 3
13:19 12 3
13:27 12 3
13:35 12 3
13:43 12 3
13:51 11 3
14:00 11 3
14:08 11 3	
14:16 11 3
14:24 11 3
14:32 11 3
14:40 11 4
14:48 10 4
14:55 10 4
15:04 10 4
15:12 10 4
15:21 10 4
15:29 10 4
15:37 10 4
15:45 10 4
15:53 10 4
16:01 13 4
16:09 13 4
16:18 13 4
16:25 11 4
16:32 12 4
16:37 12 4
16:42 12 4
